event_id,event_type,feature_name,trip_id,segment_id,event_time,event_row_in_segment,event_magnitude,delay_seconds,max_correlation,valid,invalid_reason
pedal_step_000001,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 05:19:35+00:00,186,22.900000,,,False,zero_variance
pedal_step_000002,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 05:19:51+00:00,202,22.600000,0.000000,0.840500,True,none
pedal_step_000003,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 05:20:12+00:00,223,24.700000,1.000000,0.779850,True,none
pedal_step_000004,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 05:20:16+00:00,227,24.150000,,,False,duplicate_or_overlapping_event
pedal_step_000005,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 05:20:41+00:00,252,42.750000,,0.220369,False,low_correlation
pedal_step_000006,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 05:20:53+00:00,264,23.350000,,,False,zero_variance
pedal_step_000007,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 05:22:09+00:00,340,26.700000,0.000000,0.577095,True,none
pedal_step_000008,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 05:22:50+00:00,381,32.550000,0.000000,0.748602,True,none
pedal_step_000009,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 05:22:58+00:00,389,24.100000,,,False,duplicate_or_overlapping_event
pedal_step_000010,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 05:24:07+00:00,458,22.150000,1.000000,0.574660,True,none
pedal_step_000011,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 05:24:10+00:00,461,23.150000,,,False,duplicate_or_overlapping_event
pedal_step_000012,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 05:24:40+00:00,491,20.550000,1.000000,0.797566,True,none
pedal_step_000013,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 05:24:42+00:00,493,28.850000,,,False,duplicate_or_overlapping_event
pedal_step_000014,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 05:24:59+00:00,510,33.900000,0.000000,0.809735,True,none
pedal_step_000015,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 05:26:05+00:00,576,22.400000,,,False,zero_variance
pedal_step_000016,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 05:27:03+00:00,634,28.250000,3.000000,0.525925,True,none
pedal_step_000017,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 05:27:19+00:00,650,24.500000,0.000000,0.940250,True,none
pedal_step_000018,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 05:29:52+00:00,803,25.100000,,,False,zero_variance
pedal_step_000019,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 05:29:59+00:00,810,22.400000,,,False,duplicate_or_overlapping_event
pedal_step_000020,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 05:35:19+00:00,1130,20.200000,,,False,zero_variance
pedal_step_000021,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 05:40:10+00:00,1421,25.250000,0.000000,0.876282,True,none
pedal_step_000022,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 05:44:00+00:00,1651,20.200000,0.000000,0.896004,True,none
pedal_step_000023,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 05:44:09+00:00,1660,21.150000,1.000000,0.598420,True,none
pedal_step_000024,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 05:45:00+00:00,1711,22.150000,,,False,zero_variance
pedal_step_000025,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 05:45:46+00:00,1757,27.650000,1.000000,0.637236,True,none
pedal_step_000026,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 05:45:50+00:00,1761,30.050000,,,False,duplicate_or_overlapping_event
pedal_step_000027,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 05:46:08+00:00,1779,27.100000,,,False,zero_variance
pedal_step_000028,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 05:48:56+00:00,1947,20.400000,,,False,zero_variance
pedal_step_000029,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 05:49:14+00:00,1965,20.200000,3.000000,0.636795,True,none
pedal_step_000030,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 05:58:10+00:00,2501,32.000000,,0.231245,False,low_correlation
pedal_step_000031,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 05:58:16+00:00,2507,31.600000,,,False,duplicate_or_overlapping_event
pedal_step_000032,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 06:04:59+00:00,2910,26.700000,1.000000,0.836448,True,none
pedal_step_000033,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 06:10:48+00:00,3259,23.700000,0.000000,0.394554,True,none
pedal_step_000034,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 06:11:02+00:00,3273,26.050000,,,False,zero_variance
pedal_step_000035,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 06:18:42+00:00,3733,23.900000,1.000000,0.592749,True,none
pedal_step_000036,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 06:19:35+00:00,3786,29.800000,,,False,zero_variance
pedal_step_000037,pedal_step_event,pedal_to_throttle_delay,trip_0001,trip_0001_seg_001,2017-07-05 06:20:00+00:00,3811,27.250000,0.000000,0.332638,True,none
pedal_step_000038,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 17:21:13+00:00,235,22.550000,0.000000,0.758901,True,none
pedal_step_000039,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 17:22:58+00:00,340,42.150000,1.000000,0.382451,True,none
pedal_step_000040,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 17:24:03+00:00,405,25.900000,0.000000,0.831458,True,none
pedal_step_000041,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 17:24:06+00:00,408,42.550000,,,False,duplicate_or_overlapping_event
pedal_step_000042,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 17:24:59+00:00,461,25.700000,,,False,zero_variance
pedal_step_000043,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 17:25:04+00:00,466,22.950000,,,False,duplicate_or_overlapping_event
pedal_step_000044,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 17:28:14+00:00,656,42.600000,,,False,zero_variance
pedal_step_000045,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 17:31:34+00:00,856,25.250000,,,False,zero_variance
pedal_step_000046,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 17:31:51+00:00,873,55.450000,,,False,zero_variance
pedal_step_000047,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 17:32:45+00:00,927,22.750000,,,False,zero_variance
pedal_step_000048,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 17:33:10+00:00,952,24.300000,,,False,zero_variance
pedal_step_000049,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 17:33:41+00:00,983,21.950000,,,False,zero_variance
pedal_step_000050,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 17:33:46+00:00,988,34.950000,,,False,duplicate_or_overlapping_event
pedal_step_000051,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 17:33:51+00:00,993,20.250000,,,False,zero_variance
pedal_step_000052,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 17:33:52+00:00,994,26.600000,,,False,duplicate_or_overlapping_event
pedal_step_000053,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 17:35:33+00:00,1095,20.600000,,,False,zero_variance
pedal_step_000054,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 17:36:28+00:00,1150,31.950000,,,False,zero_variance
pedal_step_000055,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 17:36:54+00:00,1176,36.100000,,,False,zero_variance
pedal_step_000056,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 17:41:45+00:00,1467,23.000000,,,False,zero_variance
pedal_step_000057,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 17:44:54+00:00,1656,24.900000,,,False,zero_variance
pedal_step_000058,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 17:44:55+00:00,1657,24.900000,,,False,duplicate_or_overlapping_event
pedal_step_000059,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 17:45:04+00:00,1666,41.400000,,,False,zero_variance
pedal_step_000060,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 17:49:01+00:00,1903,52.600000,,,False,zero_variance
pedal_step_000061,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 17:56:05+00:00,2327,25.100000,0.000000,0.911228,True,none
pedal_step_000062,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 17:57:48+00:00,2430,28.400000,,0.043874,False,low_correlation
pedal_step_000063,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 17:59:19+00:00,2521,21.800000,,0.000000,False,low_correlation
pedal_step_000064,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 18:03:15+00:00,2757,21.150000,,,False,zero_variance
pedal_step_000065,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 18:03:32+00:00,2774,30.400000,,0.068081,False,low_correlation
pedal_step_000066,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 18:03:45+00:00,2787,24.900000,,0.089584,False,low_correlation
pedal_step_000067,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 18:05:00+00:00,2862,26.500000,,,False,zero_variance
pedal_step_000068,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 18:05:12+00:00,2874,21.400000,,,False,zero_variance
pedal_step_000069,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 18:06:29+00:00,2951,31.400000,,,False,zero_variance
pedal_step_000070,pedal_step_event,pedal_to_throttle_delay,trip_0002,trip_0002_seg_001,2017-07-05 18:08:00+00:00,3042,24.300000,,,False,zero_variance
pedal_step_000071,pedal_step_event,pedal_to_throttle_delay,trip_0003,trip_0003_seg_001,2017-07-06 06:42:16+00:00,259,31.000000,1.000000,0.648180,True,none
pedal_step_000072,pedal_step_event,pedal_to_throttle_delay,trip_0003,trip_0003_seg_001,2017-07-06 06:43:09+00:00,312,21.000000,0.000000,0.379269,True,none
pedal_step_000073,pedal_step_event,pedal_to_throttle_delay,trip_0003,trip_0003_seg_001,2017-07-06 06:43:29+00:00,332,21.950000,0.000000,0.749232,True,none
pedal_step_000074,pedal_step_event,pedal_to_throttle_delay,trip_0003,trip_0003_seg_001,2017-07-06 06:43:33+00:00,336,32.000000,,,False,duplicate_or_overlapping_event
pedal_step_000075,pedal_step_event,pedal_to_throttle_delay,trip_0003,trip_0003_seg_001,2017-07-06 06:44:20+00:00,383,23.900000,0.000000,0.981212,True,none
pedal_step_000076,pedal_step_event,pedal_to_throttle_delay,trip_0003,trip_0003_seg_001,2017-07-06 06:45:26+00:00,449,20.400000,,,False,zero_variance
pedal_step_000077,pedal_step_event,pedal_to_throttle_delay,trip_0003,trip_0003_seg_001,2017-07-06 06:45:33+00:00,456,21.050000,,,False,duplicate_or_overlapping_event
pedal_step_000078,pedal_step_event,pedal_to_throttle_delay,trip_0003,trip_0003_seg_001,2017-07-06 06:45:40+00:00,463,41.200000,0.000000,0.957168,True,none
pedal_step_000079,pedal_step_event,pedal_to_throttle_delay,trip_0003,trip_0003_seg_001,2017-07-06 06:48:36+00:00,639,32.400000,0.000000,0.803169,True,none
pedal_step_000080,pedal_step_event,pedal_to_throttle_delay,trip_0003,trip_0003_seg_001,2017-07-06 06:48:40+00:00,643,24.500000,,,False,duplicate_or_overlapping_event
