condition_type,condition,signal,unit,row_count,non_null_count,missing_count,missing_rate,min,max,mean,std,p1,p5,p50,p95,p99,suspicious_value_count,suspicious_value_rate,imputed_count,imputed_rate,cleaning_suspicious_count,cleaning_suspicious_rate,hard_invalid_source_count,hard_invalid_source_rate,constant_segment_count,longest_constant_segment,near_constant_segment_count,longest_near_constant_segment,near_constant_tolerance,jump_count,jump_rate,jump_threshold,jump_threshold_method,jump_count_reliable,jump_diff_median,jump_diff_mad,spike_count,spike_rate,spike_threshold,spike_threshold_method,spike_count_reliable,spike_residual_median,spike_residual_mad
nonexclusive_flag,engine_off,coolant_temp,°C,9142,9141,1,0.00010938525486764385,-1.0,101.0,78.79345804616563,18.085434401874437,14.0,44.0,89.0,93.0,94.0,0,0.0,0,0.0,0,0.0,0,0.0,82,110,82,110,0.023,3,0.000328263486158223,83.17999999999995,nonzero_p99.5,True,0.0,0.0,0,0.0,75.0,nonzero_p99.5,True,0.0,0.0
nonexclusive_flag,engine_off,map,kPa,9142,9139,3,0.00032815576460293154,36.0,196.0,93.87022650180545,13.85278921178994,36.0,52.0,98.0,100.0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,91,120,91,120,0.003,8,0.000875752599890531,100.27499999999941,nonzero_p99.5,True,0.0,0.0,3,0.000328263486158223,64.0,nonzero_p99.5,True,0.0,0.0
nonexclusive_flag,engine_off,rpm,rpm,9142,9135,7,0.0007656967840735069,0.0,396.0,8.732567049808429,45.89620869953547,0.0,0.0,0.0,0.0,282.2999999999993,0,0.0,0,0.0,0,0.0,0,0.0,111,173,111,173,1e-06,2,0.00021913005368686317,395.0,nonzero_p99.5,True,0.0,0.0,1,0.00010946907498631637,395.0,nonzero_p99.5,True,0.0,0.0
nonexclusive_flag,engine_off,speed,km/h,9142,9134,8,0.0008750820389411508,0.0,5.0,0.005255090869279615,0.0957590568055267,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,1668,20,1668,1e-06,1,0.00010958904109589041,4.835000000000001,nonzero_p99.5,True,0.0,0.0,1,0.00010948105977665864,4.744999999999997,nonzero_p99.5,True,0.0,0.0
nonexclusive_flag,engine_off,intake_temp,°C,9142,9132,10,0.0010938525486764385,-32.0,150.0,87.52890932982918,33.736007605681785,-4.0,16.0,89.0,136.0,146.0,3345,0.36629434954007883,0,0.0,3345,0.36589367753226865,0,0.0,2,34,2,34,0.041,1104,0.12103935971932903,14.0,median_plus_6_mad,True,2.0,2.0,6,0.000657030223390276,106.06999999999994,nonzero_p99.5,True,0.0,0.0
nonexclusive_flag,engine_off,maf,g/s,9142,9127,15,0.0016407788230146576,0.0,19.08,0.1980431686205763,1.221346311458291,0.0,0.0,0.0,0.91,7.174399999999987,0,0.0,0,0.0,0,0.0,0,0.0,118,150,118,150,1e-06,4,0.000439029744265174,16.5926,nonzero_p99.5,True,0.0,0.0,2,0.00021913005368686317,16.65995,nonzero_p99.5,True,0.0,0.0
nonexclusive_flag,engine_off,tps,%,9142,9123,19,0.002078319842485233,13.7,89.0,83.17353940589719,19.54911638339935,13.7,13.7,89.0,89.0,89.0,0,0.0,0,0.0,0,0.0,0,0.0,79,120,79,120,0.0004000000000000057,0,0.0,75.3,nonzero_p99.5,True,0.0,0.0,0,0.0,75.3,nonzero_p99.5,True,0.0,0.0
nonexclusive_flag,engine_off,ambient_temp,°C,9142,9120,22,0.0024064756070881644,-12.0,31.0,13.63344298245614,10.292400180152404,-8.0,-5.0,18.0,25.0,30.80999999999949,0,0.0,0,0.0,0,0.0,0,0.0,101,829,101,829,0.016,2,0.00021982853374367993,10.77000000000001,nonzero_p99.5,True,0.0,0.0,1,0.00010964912280701755,5.267499999999998,nonzero_p99.5,True,0.0,0.0
nonexclusive_flag,engine_off,accel_pedal_d,%,9142,9117,25,0.002734631371691096,14.1,85.1,14.281287704288689,2.3408975188512406,14.1,14.1,14.1,14.5,19.6,0,0.0,0,0.0,0,0.0,0,0.0,89,330,89,330,1e-06,3,0.0003299604047514298,31.00399999999997,nonzero_p99.5,True,0.0,0.0,2,0.00021937040693210486,13.637,nonzero_p99.5,True,0.0,0.0
nonexclusive_flag,engine_off,accel_pedal_e,%,9142,9110,32,0.003500328155764603,14.1,84.3,14.650669593852909,2.29080533882579,14.5,14.5,14.5,14.5,19.6,0,0.0,0,0.0,0,0.0,0,0.0,77,417,77,417,1e-06,2,0.0002203128442388191,35.249000000000045,nonzero_p99.5,True,0.0,0.0,1,0.0001097694840834248,25.172000000000047,nonzero_p99.5,True,0.0,0.0
nonexclusive_flag,warmup,coolant_temp,°C,41809,41809,0,0.0,-1.0,69.0,46.46916931761104,15.688038553497007,10.0,16.0,48.0,67.0,69.0,0,0.0,10,0.00023918295103924993,0,0.0,0,0.0,177,219,177,219,0.023,17,0.00040662074244163796,56.0,nonzero_p99.5,True,0.0,0.0,1,2.3918295103924994e-05,3.92,nonzero_p99.5,True,0.0,0.0
nonexclusive_flag,warmup,map,kPa,41809,41809,0,0.0,36.0,242.0,112.97431175105838,21.08063765261637,83.0,97.0,106.0,155.0,206.0,0,0.0,10,0.00023918295103924993,0,0.0,0,0.0,75,90,75,90,0.014,8698,0.20804630692690393,7.0,median_plus_6_mad,True,1.0,1.0,75,0.0017938721327943744,90.98500000000058,nonzero_p99.5,True,0.0,0.0
nonexclusive_flag,warmup,rpm,rpm,41809,41809,0,0.0,405.0,3016.0,1311.5118993518142,358.09991047790317,768.0,805.0,1304.0,1921.0,2214.0,0,0.0,10,0.00023918295103924993,0,0.0,0,0.0,0,0,0,0,0.535,8429,0.20161213164944508,105.0,median_plus_6_mad,True,15.0,15.0,99,0.002367911215288574,800.3399999999965,nonzero_p99.5,True,0.0,0.0
nonexclusive_flag,warmup,speed,km/h,41809,41805,4,9.567318041569998e-05,0.0,126.0,31.576785073555794,28.37579906966696,0.0,0.0,28.0,86.0,100.0,0,0.0,10,0.00023918295103924993,0,0.0,0,0.0,85,91,85,91,0.05,1258,0.030095693779904308,7.0,median_plus_6_mad,True,1.0,1.0,22,0.0005262528405693099,6.0,nonzero_p99.5,True,0.0,0.0
nonexclusive_flag,warmup,intake_temp,°C,41809,41802,7,0.00016742806572747493,-40.0,129.0,11.994737093918951,11.049651694437046,-8.0,-4.0,10.0,30.0,35.0,24,0.0005741352088416823,10,0.00023918295103924993,24,0.0005740390824941998,0,0.0,58,72,58,72,0.017,82,0.0019620041154232667,33.0,nonzero_p99.5,True,0.0,0.0,37,0.0008851251136309268,39.0,nonzero_p99.5,True,0.0,0.0
nonexclusive_flag,warmup,maf,g/s,41809,41802,7,0.00016742806572747493,0.0,104.44,18.821342997942683,10.945762177931812,7.08,8.08,16.83,38.58,64.60939999999988,0,0.0,10,0.00023918295103924993,0,0.0,0,0.0,0,0,0,0,0.011044999999999998,8947,0.21407379049624348,3.319999999999993,median_plus_6_mad,True,0.5,0.46999999999999886,10601,0.2536003062054447,0.5599999999999881,median_plus_6_mad,True,0.0799999999999983,0.0799999999999983
