sub_check,left_out_trip,frozen_value,recalculated_value,deviation,deviation_pct,passes
1-S1_T_reg_est,trip_0001,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0002,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0003,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0004,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0005,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0006,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0007,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0008,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0009,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0010,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0011,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0012,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0013,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0014,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0015,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0016,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0017,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0018,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0019,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0020,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0021,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0022,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0023,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0024,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0025,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0026,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0027,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0028,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0029,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0030,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0031,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0032,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0033,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0034,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0035,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0036,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0037,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0038,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0039,90.0,90.0,0.0,0.0,True
1-S1_T_reg_est,trip_0040,90.0,90.0,0.0,0.0,True
