sub_check,left_out_trip,frozen_value,recalculated_value,deviation,deviation_pct,passes
1-S2_max_coolant_temp,trip_0001,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0002,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0003,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0004,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0005,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0006,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0007,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0008,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0009,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0010,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0011,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0012,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0013,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0014,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0015,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0016,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0017,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0018,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0019,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0020,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0021,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0022,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0023,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0024,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0025,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0026,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0027,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0028,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0029,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0030,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0031,105.0,101.0,-4.0,-3.8095,True
1-S2_max_coolant_temp,trip_0032,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0033,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0034,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0035,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0036,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0037,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0038,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0039,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0040,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0041,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0042,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0043,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0044,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0045,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0046,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0048,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0049,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0050,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0051,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0052,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0053,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0054,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0056,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0057,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0059,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0060,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0061,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0062,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0063,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0064,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0065,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0066,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0067,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0068,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0069,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0070,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0072,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0073,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0074,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0075,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0076,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0077,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0078,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0079,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0080,105.0,103.0,-2.0,-1.9048,True
1-S2_max_coolant_temp,trip_0081,105.0,103.0,-2.0,-1.9048,True
