sub_check,left_out_trip,frozen_value,recalculated_value,deviation,deviation_pct,passes
2-S2_residual_P0.5,trip_0001,-18.49488820957814,-16.830736,1.664152,-8.9979,True
2-S2_residual_P0.5,trip_0002,-18.49488820957814,-16.79738,1.697508,-9.1783,True
2-S2_residual_P0.5,trip_0003,-18.49488820957814,-16.912453,1.582435,-8.5561,True
2-S2_residual_P0.5,trip_0004,-18.49488820957814,-17.238087,1.256801,-6.7954,True
2-S2_residual_P0.5,trip_0005,-18.49488820957814,-16.997227,1.497661,-8.0977,True
2-S2_residual_P0.5,trip_0006,-18.49488820957814,-16.84086,1.654028,-8.9432,True
2-S2_residual_P0.5,trip_0007,-18.49488820957814,-16.799562,1.695326,-9.1665,True
2-S2_residual_P0.5,trip_0008,-18.49488820957814,-16.810053,1.684835,-9.1097,True
2-S2_residual_P0.5,trip_0009,-18.49488820957814,-16.991666,1.503222,-8.1278,True
2-S2_residual_P0.5,trip_0010,-18.49488820957814,-16.928363,1.566525,-8.47,True
2-S2_residual_P0.5,trip_0011,-18.49488820957814,-16.843753,1.651135,-8.9275,True
2-S2_residual_P0.5,trip_0012,-18.49488820957814,-16.963065,1.531823,-8.2824,True
2-S2_residual_P0.5,trip_0013,-18.49488820957814,-17.195723,1.299166,-7.0245,True
2-S2_residual_P0.5,trip_0014,-18.49488820957814,-16.868341,1.626548,-8.7946,True
2-S2_residual_P0.5,trip_0016,-18.49488820957814,-16.888589,1.606299,-8.6851,True
2-S2_residual_P0.5,trip_0017,-18.49488820957814,-16.947165,1.547723,-8.3684,True
2-S2_residual_P0.5,trip_0018,-18.49488820957814,-16.988488,1.5064,-8.145,True
2-S2_residual_P0.5,trip_0019,-18.49488820957814,-16.331486,2.163402,-11.6973,True
2-S2_residual_P0.5,trip_0020,-18.49488820957814,-16.809878,1.68501,-9.1107,True
2-S2_residual_P0.5,trip_0021,-18.49488820957814,-16.874849,1.620039,-8.7594,True
2-S2_residual_P0.5,trip_0022,-18.49488820957814,-16.884973,1.609915,-8.7046,True
2-S2_residual_P0.5,trip_0023,-18.49488820957814,-17.120526,1.374362,-7.431,True
2-S2_residual_P0.5,trip_0024,-18.49488820957814,-17.040923,1.453965,-7.8614,True
2-S2_residual_P0.5,trip_0025,-18.49488820957814,-16.859663,1.635226,-8.8415,True
2-S2_residual_P0.5,trip_0026,-18.49488820957814,-16.880634,1.614254,-8.7281,True
2-S2_residual_P0.5,trip_0027,-18.49488820957814,-16.727236,1.767653,-9.5575,True
2-S2_residual_P0.5,trip_0028,-18.49488820957814,-17.021856,1.473032,-7.9645,True
2-S2_residual_P0.5,trip_0029,-18.49488820957814,-17.005966,1.488922,-8.0505,True
2-S2_residual_P0.5,trip_0030,-18.49488820957814,-16.983498,1.51139,-8.1719,True
2-S2_residual_P0.5,trip_0031,-18.49488820957814,-16.807246,1.687642,-9.1249,True
2-S2_residual_P0.5,trip_0032,-18.49488820957814,-17.005172,1.489716,-8.0547,True
2-S2_residual_P0.5,trip_0033,-18.49488820957814,-16.84303,1.651858,-8.9314,True
2-S2_residual_P0.5,trip_0034,-18.49488820957814,-16.999611,1.495278,-8.0848,True
2-S2_residual_P0.5,trip_0035,-18.49488820957814,-16.978954,1.515934,-8.1965,True
2-S2_residual_P0.5,trip_0036,-18.49488820957814,-16.991666,1.503222,-8.1278,True
2-S2_residual_P0.5,trip_0037,-18.49488820957814,-16.988488,1.5064,-8.145,True
2-S2_residual_P0.5,trip_0038,-18.49488820957814,-16.881357,1.613531,-8.7242,True
2-S2_residual_P0.5,trip_0039,-18.49488820957814,-16.850985,1.643904,-8.8884,True
2-S2_residual_P0.5,trip_0040,-18.49488820957814,-17.034568,1.460321,-7.8958,True
2-S2_residual_P0.5,trip_0041,-18.49488820957814,-16.759119,1.73577,-9.3851,True
2-S2_residual_P0.5,trip_0042,-18.49488820957814,-16.837245,1.657644,-8.9627,True
2-S2_residual_P0.5,trip_0043,-18.49488820957814,-16.810482,1.684406,-9.1074,True
2-S2_residual_P0.5,trip_0044,-18.49488820957814,-16.930533,1.564356,-8.4583,True
2-S2_residual_P0.5,trip_0045,-18.49488820957814,-17.253456,1.241432,-6.7123,True
2-S2_residual_P0.5,trip_0048,-18.49488820957814,-16.879188,1.6157,-8.7359,True
2-S2_residual_P0.5,trip_0049,-18.49488820957814,-17.001994,1.492894,-8.0719,True
2-S2_residual_P0.5,trip_0050,-18.49488820957814,-16.82712,1.667768,-9.0175,True
2-S2_residual_P0.5,trip_0051,-18.49488820957814,-16.801175,1.693713,-9.1577,True
2-S2_residual_P0.5,trip_0053,-18.49488820957814,-16.936318,1.55857,-8.427,True
2-S2_residual_P0.5,trip_0054,-18.49488820957814,-16.806013,1.688875,-9.1316,True
2-S2_residual_P0.5,trip_0056,-18.49488820957814,-17.203472,1.291416,-6.9826,True
2-S2_residual_P0.5,trip_0059,-18.49488820957814,-17.069524,1.425364,-7.7068,True
2-S2_residual_P0.5,trip_0060,-18.49488820957814,-16.830736,1.664152,-8.9979,True
2-S2_residual_P0.5,trip_0061,-18.49488820957814,-16.859663,1.635226,-8.8415,True
2-S2_residual_P0.5,trip_0062,-18.49488820957814,-16.844476,1.650412,-8.9236,True
2-S2_residual_P0.5,trip_0063,-18.49488820957814,-16.814103,1.680785,-9.0878,True
2-S2_residual_P0.5,trip_0064,-18.49488820957814,-16.96227,1.532618,-8.2867,True
2-S2_residual_P0.5,trip_0065,-18.49488820957814,-16.862555,1.632333,-8.8259,True
2-S2_residual_P0.5,trip_0066,-18.49488820957814,-17.009939,1.484949,-8.029,True
2-S2_residual_P0.5,trip_0067,-18.49488820957814,-17.065552,1.429336,-7.7283,True
