sub_check,left_out_trip,frozen_value,recalculated_value,deviation,deviation_pct,passes
3-S1a_band_high,trip_0001,1.3777108815013193,2.494888,1.117177,81.0894,False
3-S1a_band_high,trip_0002,1.3777108815013193,2.455347,1.077636,78.2193,False
3-S1a_band_high,trip_0003,1.3777108815013193,2.48085,1.103139,80.0704,False
3-S1a_band_high,trip_0004,1.3777108815013193,2.494888,1.117177,81.0894,False
3-S1a_band_high,trip_0005,1.3777108815013193,2.494338,1.116627,81.0494,False
3-S1a_band_high,trip_0006,1.3777108815013193,2.485437,1.107726,80.4034,False
3-S1a_band_high,trip_0007,1.3777108815013193,2.481226,1.103515,80.0977,False
3-S1a_band_high,trip_0008,1.3777108815013193,2.47989,1.102179,80.0008,False
3-S1a_band_high,trip_0009,1.3777108815013193,2.493798,1.116087,81.0102,False
3-S1a_band_high,trip_0010,1.3777108815013193,2.494447,1.116736,81.0573,False
3-S1a_band_high,trip_0011,1.3777108815013193,2.492897,1.115186,80.9449,False
3-S1a_band_high,trip_0012,1.3777108815013193,2.484725,1.107014,80.3517,False
3-S1a_band_high,trip_0013,1.3777108815013193,2.495979,1.118268,81.1686,False
3-S1a_band_high,trip_0014,1.3777108815013193,2.472311,1.0946,79.4506,False
3-S1a_band_high,trip_0015,1.3777108815013193,2.48235,1.104639,80.1793,False
3-S1a_band_high,trip_0016,1.3777108815013193,2.465115,1.087404,78.9283,False
3-S1a_band_high,trip_0017,1.3777108815013193,2.494888,1.117177,81.0894,False
3-S1a_band_high,trip_0018,1.3777108815013193,2.494888,1.117177,81.0894,False
3-S1a_band_high,trip_0019,1.3777108815013193,2.439515,1.061804,77.0702,False
3-S1a_band_high,trip_0020,1.3777108815013193,2.481221,1.10351,80.0973,False
3-S1a_band_high,trip_0021,1.3777108815013193,2.481608,1.103897,80.1255,False
3-S1a_band_high,trip_0022,1.3777108815013193,2.480414,1.102703,80.0388,False
3-S1a_band_high,trip_0023,1.3777108815013193,2.47995,1.102239,80.0051,False
3-S1a_band_high,trip_0024,1.3777108815013193,2.480386,1.102675,80.0368,False
3-S1a_band_high,trip_0025,1.3777108815013193,2.45561,1.077899,78.2384,False
3-S1a_band_high,trip_0026,1.3777108815013193,2.482884,1.105173,80.2181,False
3-S1a_band_high,trip_0027,1.3777108815013193,2.43143,1.053719,76.4833,False
3-S1a_band_high,trip_0028,1.3777108815013193,2.484571,1.10686,80.3405,False
3-S1a_band_high,trip_0029,1.3777108815013193,2.494888,1.117177,81.0894,False
3-S1a_band_high,trip_0030,1.3777108815013193,2.492506,1.114795,80.9165,False
3-S1a_band_high,trip_0031,1.3777108815013193,2.455347,1.077636,78.2193,False
3-S1a_band_high,trip_0032,1.3777108815013193,2.494288,1.116578,81.0459,False
3-S1a_band_high,trip_0033,1.3777108815013193,2.456438,1.078727,78.2985,False
3-S1a_band_high,trip_0034,1.3777108815013193,2.481346,1.103635,80.1065,False
3-S1a_band_high,trip_0035,1.3777108815013193,2.494888,1.117177,81.0894,False
3-S1a_band_high,trip_0036,1.3777108815013193,2.494888,1.117177,81.0894,False
3-S1a_band_high,trip_0037,1.3777108815013193,2.4853,1.107589,80.3934,False
3-S1a_band_high,trip_0038,1.3777108815013193,2.480981,1.10327,80.0799,False
3-S1a_band_high,trip_0039,1.3777108815013193,2.483675,1.105964,80.2755,False
3-S1a_band_high,trip_0040,1.3777108815013193,2.485326,1.107615,80.3953,False
3-S1a_band_high,trip_0041,1.3777108815013193,2.455347,1.077636,78.2193,False
3-S1a_band_high,trip_0042,1.3777108815013193,2.47989,1.102179,80.0008,False
3-S1a_band_high,trip_0043,1.3777108815013193,2.481177,1.103466,80.0942,False
3-S1a_band_high,trip_0044,1.3777108815013193,2.467613,1.089902,79.1096,False
3-S1a_band_high,trip_0045,1.3777108815013193,2.495068,1.117357,81.1025,False
3-S1a_band_high,trip_0046,1.3777108815013193,2.455347,1.077636,78.2193,False
3-S1a_band_high,trip_0047,1.3777108815013193,2.484237,1.106526,80.3163,False
3-S1a_band_high,trip_0048,1.3777108815013193,2.48289,1.105179,80.2185,False
3-S1a_band_high,trip_0049,1.3777108815013193,2.49004,1.112329,80.7375,False
3-S1a_band_high,trip_0050,1.3777108815013193,2.480981,1.10327,80.0799,False
3-S1a_band_high,trip_0051,1.3777108815013193,2.481941,1.10423,80.1496,False
3-S1a_band_high,trip_0052,1.3777108815013193,2.480981,1.10327,80.0799,False
3-S1a_band_high,trip_0053,1.3777108815013193,2.483566,1.105855,80.2676,False
3-S1a_band_high,trip_0054,1.3777108815013193,2.480981,1.10327,80.0799,False
3-S1a_band_high,trip_0055,1.3777108815013193,2.480981,1.10327,80.0799,False
3-S1a_band_high,trip_0056,1.3777108815013193,2.481652,1.103941,80.1286,False
3-S1a_band_high,trip_0057,1.3777108815013193,2.469527,1.091817,79.2486,False
3-S1a_band_high,trip_0058,1.3777108815013193,2.482731,1.105021,80.207,False
3-S1a_band_high,trip_0059,1.3777108815013193,2.484425,1.106714,80.3299,False
3-S1a_band_high,trip_0060,1.3777108815013193,2.455422,1.077711,78.2248,False
3-S1a_band_high,trip_0061,1.3777108815013193,2.487183,1.109472,80.5301,False
3-S1a_band_high,trip_0062,1.3777108815013193,2.47989,1.102179,80.0008,False
3-S1a_band_high,trip_0063,1.3777108815013193,2.456438,1.078727,78.2985,False
3-S1a_band_high,trip_0064,1.3777108815013193,2.489492,1.111781,80.6977,False
3-S1a_band_high,trip_0065,1.3777108815013193,2.494888,1.117177,81.0894,False
3-S1a_band_high,trip_0066,1.3777108815013193,2.494278,1.116567,81.0451,False
3-S1a_band_high,trip_0067,1.3777108815013193,2.487183,1.109472,80.5301,False
3-S1a_band_high,trip_0068,1.3777108815013193,2.494888,1.117177,81.0894,False
3-S1a_band_high,trip_0069,1.3777108815013193,2.485583,1.107872,80.414,False
3-S1a_band_high,trip_0070,1.3777108815013193,2.480981,1.10327,80.0799,False
