sub_check,left_out_trip,frozen_value,recalculated_value,deviation,deviation_pct,passes
3-S1a_band_low,trip_0001,-1.8350339123652364,-2.733718,-0.898684,48.9737,False
3-S1a_band_low,trip_0002,-1.8350339123652364,-2.722019,-0.886985,48.3362,False
3-S1a_band_low,trip_0003,-1.8350339123652364,-2.722019,-0.886985,48.3362,False
3-S1a_band_low,trip_0004,-1.8350339123652364,-2.737017,-0.901983,49.1535,False
3-S1a_band_low,trip_0005,-1.8350339123652364,-2.737017,-0.901983,49.1535,False
3-S1a_band_low,trip_0006,-1.8350339123652364,-2.733644,-0.89861,48.9697,False
3-S1a_band_low,trip_0007,-1.8350339123652364,-2.722019,-0.886985,48.3362,False
3-S1a_band_low,trip_0008,-1.8350339123652364,-2.722019,-0.886985,48.3362,False
3-S1a_band_low,trip_0009,-1.8350339123652364,-2.7286,-0.893567,48.6948,False
3-S1a_band_low,trip_0010,-1.8350339123652364,-2.732945,-0.897911,48.9316,False
3-S1a_band_low,trip_0011,-1.8350339123652364,-2.724075,-0.889041,48.4482,False
3-S1a_band_low,trip_0012,-1.8350339123652364,-2.7245,-0.889467,48.4714,False
3-S1a_band_low,trip_0013,-1.8350339123652364,-2.722019,-0.886985,48.3362,False
3-S1a_band_low,trip_0014,-1.8350339123652364,-2.712474,-0.877441,47.816,False
3-S1a_band_low,trip_0015,-1.8350339123652364,-2.722019,-0.886985,48.3362,False
3-S1a_band_low,trip_0016,-1.8350339123652364,-2.711607,-0.876573,47.7688,False
3-S1a_band_low,trip_0017,-1.8350339123652364,-2.736226,-0.901193,49.1104,False
3-S1a_band_low,trip_0018,-1.8350339123652364,-2.723377,-0.888343,48.4102,False
3-S1a_band_low,trip_0019,-1.8350339123652364,-2.641509,-0.806475,43.9488,False
3-S1a_band_low,trip_0020,-1.8350339123652364,-2.722019,-0.886985,48.3362,False
3-S1a_band_low,trip_0021,-1.8350339123652364,-2.722646,-0.887612,48.3703,False
3-S1a_band_low,trip_0022,-1.8350339123652364,-2.722019,-0.886985,48.3362,False
3-S1a_band_low,trip_0023,-1.8350339123652364,-2.722019,-0.886985,48.3362,False
3-S1a_band_low,trip_0024,-1.8350339123652364,-2.723606,-0.888572,48.4227,False
3-S1a_band_low,trip_0025,-1.8350339123652364,-2.712933,-0.877899,47.841,False
3-S1a_band_low,trip_0026,-1.8350339123652364,-2.722832,-0.887798,48.3804,False
3-S1a_band_low,trip_0027,-1.8350339123652364,-2.658731,-0.823697,44.8873,False
