sub_check,left_out_trip,frozen_value,recalculated_value,deviation,deviation_pct,passes
3-S1b_channel_delta,trip_0001,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0002,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0003,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0004,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0005,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0006,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0007,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0008,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0009,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0010,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0011,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0012,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0013,65.0,60.0,-5.0,-7.6923,True
3-S1b_channel_delta,trip_0014,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0015,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0016,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0017,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0018,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0019,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0020,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0021,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0022,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0023,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0024,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0025,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0026,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0027,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0028,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0029,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0030,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0031,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0032,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0033,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0034,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0035,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0036,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0037,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0038,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0039,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0040,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0041,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0042,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0043,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0044,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0045,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0046,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0047,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0048,65.0,63.5,-1.5,-2.3077,True
3-S1b_channel_delta,trip_0049,65.0,63.5,-1.5,-2.3077,True
