sub_check,left_out_trip,frozen_value,recalculated_value,deviation,deviation_pct,passes
4-S1_maf_std_120s_q50,trip_0001,8.529069247626124,8.6062,0.077131,0.9043,True
4-S1_maf_std_120s_q50,trip_0002,8.529069247626124,8.575431,0.046362,0.5436,True
4-S1_maf_std_120s_q50,trip_0003,8.529069247626124,8.598467,0.069397,0.8137,True
4-S1_maf_std_120s_q50,trip_0004,8.529069247626124,8.583305,0.054236,0.6359,True
4-S1_maf_std_120s_q50,trip_0005,8.529069247626124,8.598397,0.069328,0.8128,True
4-S1_maf_std_120s_q50,trip_0006,8.529069247626124,8.590315,0.061246,0.7181,True
4-S1_maf_std_120s_q50,trip_0007,8.529069247626124,8.598906,0.069836,0.8188,True
4-S1_maf_std_120s_q50,trip_0008,8.529069247626124,8.602353,0.073283,0.8592,True
4-S1_maf_std_120s_q50,trip_0009,8.529069247626124,8.56131,0.032241,0.378,True
4-S1_maf_std_120s_q50,trip_0010,8.529069247626124,8.590268,0.061198,0.7175,True
4-S1_maf_std_120s_q50,trip_0011,8.529069247626124,8.602547,0.073478,0.8615,True
4-S1_maf_std_120s_q50,trip_0012,8.529069247626124,8.59886,0.069791,0.8183,True
4-S1_maf_std_120s_q50,trip_0013,8.529069247626124,8.588566,0.059496,0.6976,True
4-S1_maf_std_120s_q50,trip_0014,8.529069247626124,8.581756,0.052687,0.6177,True
4-S1_maf_std_120s_q50,trip_0015,8.529069247626124,8.585616,0.056547,0.663,True
4-S1_maf_std_120s_q50,trip_0016,8.529069247626124,8.584779,0.055709,0.6532,True
4-S1_maf_std_120s_q50,trip_0017,8.529069247626124,8.587333,0.058264,0.6831,True
4-S1_maf_std_120s_q50,trip_0018,8.529069247626124,8.596259,0.067189,0.7878,True
4-S1_maf_std_120s_q50,trip_0019,8.529069247626124,8.560016,0.030946,0.3628,True
4-S1_maf_std_120s_q50,trip_0020,8.529069247626124,8.57976,0.05069,0.5943,True
4-S1_maf_std_120s_q50,trip_0021,8.529069247626124,8.613513,0.084444,0.9901,True
4-S1_maf_std_120s_q50,trip_0022,8.529069247626124,8.572185,0.043116,0.5055,True
4-S1_maf_std_120s_q50,trip_0023,8.529069247626124,8.594297,0.065228,0.7648,True
4-S1_maf_std_120s_q50,trip_0024,8.529069247626124,8.579987,0.050917,0.597,True
4-S1_maf_std_120s_q50,trip_0025,8.529069247626124,8.609529,0.08046,0.9434,True
4-S1_maf_std_120s_q50,trip_0026,8.529069247626124,8.591946,0.062876,0.7372,True
4-S1_maf_std_120s_q50,trip_0027,8.529069247626124,8.573139,0.044069,0.5167,True
4-S1_maf_std_120s_q50,trip_0028,8.529069247626124,8.597145,0.068076,0.7982,True
4-S1_maf_std_120s_q50,trip_0029,8.529069247626124,8.59653,0.067461,0.7909,True
4-S1_maf_std_120s_q50,trip_0030,8.529069247626124,8.581146,0.052077,0.6106,True
4-S1_maf_std_120s_q50,trip_0031,8.529069247626124,8.589802,0.060733,0.7121,True
4-S1_maf_std_120s_q50,trip_0032,8.529069247626124,8.576019,0.04695,0.5505,True
4-S1_maf_std_120s_q50,trip_0033,8.529069247626124,8.571445,0.042376,0.4968,True
4-S1_maf_std_120s_q50,trip_0034,8.529069247626124,8.584029,0.05496,0.6444,True
4-S1_maf_std_120s_q50,trip_0035,8.529069247626124,8.607406,0.078337,0.9185,True
4-S1_maf_std_120s_q50,trip_0036,8.529069247626124,8.586045,0.056975,0.668,True
4-S1_maf_std_120s_q50,trip_0037,8.529069247626124,8.599248,0.070179,0.8228,True
4-S1_maf_std_120s_q50,trip_0038,8.529069247626124,8.616829,0.087759,1.0289,True
4-S1_maf_std_120s_q50,trip_0039,8.529069247626124,8.597495,0.068426,0.8023,True
4-S1_maf_std_120s_q50,trip_0040,8.529069247626124,8.589096,0.060027,0.7038,True
4-S1_maf_std_120s_q50,trip_0041,8.529069247626124,8.59926,0.070191,0.823,True
4-S1_maf_std_120s_q50,trip_0042,8.529069247626124,8.587504,0.058435,0.6851,True
4-S1_maf_std_120s_q50,trip_0043,8.529069247626124,8.580969,0.051899,0.6085,True
4-S1_maf_std_120s_q50,trip_0044,8.529069247626124,8.592667,0.063598,0.7457,True
4-S1_maf_std_120s_q50,trip_0045,8.529069247626124,8.583924,0.054854,0.6431,True
4-S1_maf_std_120s_q50,trip_0046,8.529069247626124,8.593103,0.064034,0.7508,True
4-S1_maf_std_120s_q50,trip_0047,8.529069247626124,8.600723,0.071653,0.8401,True
4-S1_maf_std_120s_q50,trip_0048,8.529069247626124,8.566512,0.037442,0.439,True
4-S1_maf_std_120s_q50,trip_0049,8.529069247626124,8.58335,0.05428,0.6364,True
4-S1_maf_std_120s_q50,trip_0050,8.529069247626124,8.590059,0.06099,0.7151,True
4-S1_maf_std_120s_q50,trip_0051,8.529069247626124,8.564996,0.035927,0.4212,True
4-S1_maf_std_120s_q50,trip_0052,8.529069247626124,8.606104,0.077035,0.9032,True
4-S1_maf_std_120s_q50,trip_0053,8.529069247626124,8.575243,0.046174,0.5414,True
4-S1_maf_std_120s_q50,trip_0054,8.529069247626124,8.557598,0.028529,0.3345,True
4-S1_maf_std_120s_q50,trip_0055,8.529069247626124,8.604107,0.075038,0.8798,True
4-S1_maf_std_120s_q50,trip_0056,8.529069247626124,8.589174,0.060104,0.7047,True
4-S1_maf_std_120s_q50,trip_0057,8.529069247626124,8.591806,0.062737,0.7356,True
4-S1_maf_std_120s_q50,trip_0058,8.529069247626124,8.609529,0.08046,0.9434,True
4-S1_maf_std_120s_q50,trip_0059,8.529069247626124,8.584501,0.055432,0.6499,True
4-S1_maf_std_120s_q50,trip_0060,8.529069247626124,8.59949,0.070421,0.8257,True
4-S1_maf_std_120s_q50,trip_0061,8.529069247626124,8.580752,0.051682,0.606,True
4-S1_maf_std_120s_q50,trip_0062,8.529069247626124,8.577405,0.048336,0.5667,True
4-S1_maf_std_120s_q50,trip_0063,8.529069247626124,8.609529,0.08046,0.9434,True
4-S1_maf_std_120s_q50,trip_0064,8.529069247626124,8.57578,0.04671,0.5477,True
4-S1_maf_std_120s_q50,trip_0065,8.529069247626124,8.572761,0.043692,0.5123,True
4-S1_maf_std_120s_q50,trip_0066,8.529069247626124,8.603945,0.074876,0.8779,True
4-S1_maf_std_120s_q50,trip_0067,8.529069247626124,8.592667,0.063598,0.7457,True
4-S1_maf_std_120s_q50,trip_0068,8.529069247626124,8.598361,0.069292,0.8124,True
4-S1_maf_std_120s_q50,trip_0069,8.529069247626124,8.581785,0.052716,0.6181,True
4-S1_maf_std_120s_q50,trip_0070,8.529069247626124,8.609529,0.08046,0.9434,True
4-S1_maf_std_120s_q50,trip_0071,8.529069247626124,8.613173,0.084104,0.9861,True
