sub_check,left_out_trip,frozen_value,recalculated_value,deviation,deviation_pct,passes
4-S1_speed_std_120s_q50,trip_0001,12.39399769675226,12.753045,0.359047,2.8969,True
4-S1_speed_std_120s_q50,trip_0002,12.39399769675226,12.748613,0.354615,2.8612,True
4-S1_speed_std_120s_q50,trip_0003,12.39399769675226,12.753409,0.359412,2.8999,True
4-S1_speed_std_120s_q50,trip_0004,12.39399769675226,12.775057,0.38106,3.0745,True
4-S1_speed_std_120s_q50,trip_0005,12.39399769675226,12.760223,0.366226,2.9549,True
4-S1_speed_std_120s_q50,trip_0006,12.39399769675226,12.806279,0.412281,3.3265,True
4-S1_speed_std_120s_q50,trip_0007,12.39399769675226,12.748806,0.354809,2.8627,True
4-S1_speed_std_120s_q50,trip_0008,12.39399769675226,12.742078,0.34808,2.8085,True
4-S1_speed_std_120s_q50,trip_0009,12.39399769675226,12.737029,0.343031,2.7677,True
4-S1_speed_std_120s_q50,trip_0010,12.39399769675226,12.808543,0.414545,3.3447,True
4-S1_speed_std_120s_q50,trip_0011,12.39399769675226,12.764183,0.370185,2.9868,True
4-S1_speed_std_120s_q50,trip_0012,12.39399769675226,12.805458,0.411461,3.3198,True
4-S1_speed_std_120s_q50,trip_0013,12.39399769675226,12.786767,0.392769,3.169,True
4-S1_speed_std_120s_q50,trip_0014,12.39399769675226,12.73419,0.340192,2.7448,True
4-S1_speed_std_120s_q50,trip_0015,12.39399769675226,12.692596,0.298598,2.4092,True
4-S1_speed_std_120s_q50,trip_0016,12.39399769675226,12.766654,0.372656,3.0067,True
4-S1_speed_std_120s_q50,trip_0017,12.39399769675226,12.771412,0.377414,3.0451,True
4-S1_speed_std_120s_q50,trip_0018,12.39399769675226,12.800111,0.406113,3.2767,True
4-S1_speed_std_120s_q50,trip_0019,12.39399769675226,12.776392,0.382394,3.0853,True
4-S1_speed_std_120s_q50,trip_0020,12.39399769675226,12.729964,0.335966,2.7107,True
4-S1_speed_std_120s_q50,trip_0021,12.39399769675226,12.786767,0.392769,3.169,True
4-S1_speed_std_120s_q50,trip_0022,12.39399769675226,12.687625,0.293628,2.3691,True
4-S1_speed_std_120s_q50,trip_0023,12.39399769675226,12.784272,0.390274,3.1489,True
4-S1_speed_std_120s_q50,trip_0024,12.39399769675226,12.760518,0.36652,2.9572,True
4-S1_speed_std_120s_q50,trip_0025,12.39399769675226,12.776017,0.38202,3.0823,True
4-S1_speed_std_120s_q50,trip_0026,12.39399769675226,12.712085,0.318087,2.5665,True
4-S1_speed_std_120s_q50,trip_0027,12.39399769675226,12.780987,0.38699,3.1224,True
4-S1_speed_std_120s_q50,trip_0028,12.39399769675226,12.771409,0.377411,3.0451,True
4-S1_speed_std_120s_q50,trip_0029,12.39399769675226,12.805458,0.411461,3.3198,True
4-S1_speed_std_120s_q50,trip_0030,12.39399769675226,12.778212,0.384215,3.1,True
4-S1_speed_std_120s_q50,trip_0031,12.39399769675226,12.776319,0.382321,3.0847,True
