sub_check,left_out_trip,frozen_value,recalculated_value,deviation,deviation_pct,passes
5-S1_post_warmup__acceleration_P95,trip_0001,18.6,18.25,-0.35,-1.8817,True
5-S1_post_warmup__acceleration_P95,trip_0002,18.6,18.2,-0.4,-2.1505,True
5-S1_post_warmup__acceleration_P95,trip_0003,18.6,18.2,-0.4,-2.1505,True
5-S1_post_warmup__acceleration_P95,trip_0004,18.6,18.21,-0.39,-2.0968,True
5-S1_post_warmup__acceleration_P95,trip_0005,18.6,18.25,-0.35,-1.8817,True
5-S1_post_warmup__acceleration_P95,trip_0006,18.6,18.2,-0.4,-2.1505,True
5-S1_post_warmup__acceleration_P95,trip_0007,18.6,18.2,-0.4,-2.1505,True
5-S1_post_warmup__acceleration_P95,trip_0008,18.6,18.2,-0.4,-2.1505,True
5-S1_post_warmup__acceleration_P95,trip_0009,18.6,18.2,-0.4,-2.1505,True
5-S1_post_warmup__acceleration_P95,trip_0010,18.6,18.2,-0.4,-2.1505,True
5-S1_post_warmup__acceleration_P95,trip_0011,18.6,18.2,-0.4,-2.1505,True
5-S1_post_warmup__acceleration_P95,trip_0012,18.6,18.2,-0.4,-2.1505,True
5-S1_post_warmup__acceleration_P95,trip_0013,18.6,18.2,-0.4,-2.1505,True
5-S1_post_warmup__acceleration_P95,trip_0014,18.6,18.2,-0.4,-2.1505,True
5-S1_post_warmup__acceleration_P95,trip_0015,18.6,18.2,-0.4,-2.1505,True
5-S1_post_warmup__acceleration_P95,trip_0016,18.6,18.25,-0.35,-1.8817,True
5-S1_post_warmup__acceleration_P95,trip_0017,18.6,18.25,-0.35,-1.8817,True
5-S1_post_warmup__acceleration_P95,trip_0018,18.6,18.25,-0.35,-1.8817,True
5-S1_post_warmup__acceleration_P95,trip_0019,18.6,18.2,-0.4,-2.1505,True
5-S1_post_warmup__acceleration_P95,trip_0020,18.6,18.2,-0.4,-2.1505,True
5-S1_post_warmup__acceleration_P95,trip_0021,18.6,18.25,-0.35,-1.8817,True
5-S1_post_warmup__acceleration_P95,trip_0022,18.6,18.2025,-0.3975,-2.1371,True
5-S1_post_warmup__acceleration_P95,trip_0023,18.6,18.2,-0.4,-2.1505,True
5-S1_post_warmup__acceleration_P95,trip_0024,18.6,18.2475,-0.3525,-1.8952,True
5-S1_post_warmup__acceleration_P95,trip_0025,18.6,18.2,-0.4,-2.1505,True
5-S1_post_warmup__acceleration_P95,trip_0026,18.6,18.2,-0.4,-2.1505,True
5-S1_post_warmup__acceleration_P95,trip_0027,18.6,18.2,-0.4,-2.1505,True
5-S1_post_warmup__acceleration_P95,trip_0028,18.6,18.2,-0.4,-2.1505,True
5-S1_post_warmup__acceleration_P95,trip_0029,18.6,18.2,-0.4,-2.1505,True
5-S1_post_warmup__acceleration_P95,trip_0030,18.6,18.2,-0.4,-2.1505,True
5-S1_post_warmup__acceleration_P95,trip_0031,18.6,18.25,-0.35,-1.8817,True
5-S1_post_warmup__acceleration_P95,trip_0032,18.6,18.2,-0.4,-2.1505,True
