sub_check,left_out_trip,frozen_value,recalculated_value,deviation,deviation_pct,passes
5-S1_post_warmup__high_load_P95,trip_0001,26.5,25.3,-1.2,-4.5283,True
5-S1_post_warmup__high_load_P95,trip_0002,26.5,25.3,-1.2,-4.5283,True
5-S1_post_warmup__high_load_P95,trip_0003,26.5,25.3,-1.2,-4.5283,True
5-S1_post_warmup__high_load_P95,trip_0004,26.5,25.3,-1.2,-4.5283,True
5-S1_post_warmup__high_load_P95,trip_0005,26.5,25.3,-1.2,-4.5283,True
5-S1_post_warmup__high_load_P95,trip_0006,26.5,25.105,-1.395,-5.2642,True
5-S1_post_warmup__high_load_P95,trip_0007,26.5,25.195,-1.305,-4.9245,True
5-S1_post_warmup__high_load_P95,trip_0008,26.5,25.3,-1.2,-4.5283,True
5-S1_post_warmup__high_load_P95,trip_0009,26.5,25.1,-1.4,-5.283,True
5-S1_post_warmup__high_load_P95,trip_0010,26.5,25.3,-1.2,-4.5283,True
5-S1_post_warmup__high_load_P95,trip_0011,26.5,25.3,-1.2,-4.5283,True
5-S1_post_warmup__high_load_P95,trip_0012,26.5,25.3,-1.2,-4.5283,True
5-S1_post_warmup__high_load_P95,trip_0013,26.5,25.405,-1.095,-4.1321,True
5-S1_post_warmup__high_load_P95,trip_0014,26.5,25.3,-1.2,-4.5283,True
5-S1_post_warmup__high_load_P95,trip_0015,26.5,25.3,-1.2,-4.5283,True
5-S1_post_warmup__high_load_P95,trip_0016,26.5,25.6275,-0.8725,-3.2925,True
5-S1_post_warmup__high_load_P95,trip_0017,26.5,25.375,-1.125,-4.2453,True
5-S1_post_warmup__high_load_P95,trip_0018,26.5,25.3,-1.2,-4.5283,True
5-S1_post_warmup__high_load_P95,trip_0019,26.5,25.3,-1.2,-4.5283,True
5-S1_post_warmup__high_load_P95,trip_0020,26.5,25.3,-1.2,-4.5283,True
5-S1_post_warmup__high_load_P95,trip_0021,26.5,25.27,-1.23,-4.6415,True
5-S1_post_warmup__high_load_P95,trip_0022,26.5,25.3,-1.2,-4.5283,True
5-S1_post_warmup__high_load_P95,trip_0023,26.5,25.5,-1.0,-3.7736,True
5-S1_post_warmup__high_load_P95,trip_0024,26.5,25.5,-1.0,-3.7736,True
5-S1_post_warmup__high_load_P95,trip_0025,26.5,25.3,-1.2,-4.5283,True
5-S1_post_warmup__high_load_P95,trip_0026,26.5,25.3,-1.2,-4.5283,True
5-S1_post_warmup__high_load_P95,trip_0027,26.5,25.5,-1.0,-3.7736,True
5-S1_post_warmup__high_load_P95,trip_0028,26.5,25.3,-1.2,-4.5283,True
5-S1_post_warmup__high_load_P95,trip_0029,26.5,25.3,-1.2,-4.5283,True
5-S1_post_warmup__high_load_P95,trip_0030,26.5,25.1,-1.4,-5.283,True
5-S1_post_warmup__high_load_P95,trip_0031,26.5,25.5,-1.0,-3.7736,True
5-S1_post_warmup__high_load_P95,trip_0032,26.5,25.5,-1.0,-3.7736,True
5-S1_post_warmup__high_load_P95,trip_0033,26.5,25.33,-1.17,-4.4151,True
