sub_check,left_out_trip,frozen_value,recalculated_value,deviation,deviation_pct,passes
5-S1_post_warmup__idle_P95,trip_0001,9.2,9.6,0.4,4.3478,True
5-S1_post_warmup__idle_P95,trip_0002,9.2,9.6,0.4,4.3478,True
5-S1_post_warmup__idle_P95,trip_0003,9.2,9.6,0.4,4.3478,True
5-S1_post_warmup__idle_P95,trip_0004,9.2,9.6,0.4,4.3478,True
5-S1_post_warmup__idle_P95,trip_0005,9.2,9.6,0.4,4.3478,True
5-S1_post_warmup__idle_P95,trip_0006,9.2,9.6,0.4,4.3478,True
5-S1_post_warmup__idle_P95,trip_0007,9.2,9.4,0.2,2.1739,True
5-S1_post_warmup__idle_P95,trip_0008,9.2,9.6,0.4,4.3478,True
5-S1_post_warmup__idle_P95,trip_0009,9.2,9.6,0.4,4.3478,True
5-S1_post_warmup__idle_P95,trip_0010,9.2,9.2,0.0,0.0,True
5-S1_post_warmup__idle_P95,trip_0011,9.2,9.6,0.4,4.3478,True
5-S1_post_warmup__idle_P95,trip_0012,9.2,9.6,0.4,4.3478,True
5-S1_post_warmup__idle_P95,trip_0013,9.2,9.65,0.45,4.8913,True
5-S1_post_warmup__idle_P95,trip_0014,9.2,9.6,0.4,4.3478,True
5-S1_post_warmup__idle_P95,trip_0015,9.2,9.6,0.4,4.3478,True
5-S1_post_warmup__idle_P95,trip_0016,9.2,9.6,0.4,4.3478,True
5-S1_post_warmup__idle_P95,trip_0017,9.2,9.6,0.4,4.3478,True
5-S1_post_warmup__idle_P95,trip_0018,9.2,9.6,0.4,4.3478,True
5-S1_post_warmup__idle_P95,trip_0019,9.2,9.6,0.4,4.3478,True
5-S1_post_warmup__idle_P95,trip_0020,9.2,9.2,0.0,0.0,True
5-S1_post_warmup__idle_P95,trip_0021,9.2,9.6,0.4,4.3478,True
5-S1_post_warmup__idle_P95,trip_0022,9.2,9.4,0.2,2.1739,True
5-S1_post_warmup__idle_P95,trip_0023,9.2,9.52,0.32,3.4783,True
5-S1_post_warmup__idle_P95,trip_0024,9.2,9.64,0.44,4.7826,True
5-S1_post_warmup__idle_P95,trip_0025,9.2,9.6,0.4,4.3478,True
5-S1_post_warmup__idle_P95,trip_0026,9.2,9.6,0.4,4.3478,True
5-S1_post_warmup__idle_P95,trip_0027,9.2,9.2,0.0,0.0,True
5-S1_post_warmup__idle_P95,trip_0028,9.2,9.2,0.0,0.0,True
5-S1_post_warmup__idle_P95,trip_0029,9.2,9.6,0.4,4.3478,True
5-S1_post_warmup__idle_P95,trip_0030,9.2,9.69,0.49,5.3261,True
5-S1_post_warmup__idle_P95,trip_0031,9.2,9.6,0.4,4.3478,True
5-S1_post_warmup__idle_P95,trip_0032,9.2,9.72,0.52,5.6522,True
