sub_check,left_out_trip,frozen_value,recalculated_value,deviation,deviation_pct,passes
5-S1_post_warmup__steady_driving_P95,trip_0001,11.4,12.0,0.6,5.2632,True
5-S1_post_warmup__steady_driving_P95,trip_0002,11.4,12.0,0.6,5.2632,True
5-S1_post_warmup__steady_driving_P95,trip_0003,11.4,12.0,0.6,5.2632,True
5-S1_post_warmup__steady_driving_P95,trip_0004,11.4,12.0,0.6,5.2632,True
5-S1_post_warmup__steady_driving_P95,trip_0005,11.4,12.0,0.6,5.2632,True
5-S1_post_warmup__steady_driving_P95,trip_0006,11.4,12.0,0.6,5.2632,True
5-S1_post_warmup__steady_driving_P95,trip_0007,11.4,12.0,0.6,5.2632,True
5-S1_post_warmup__steady_driving_P95,trip_0008,11.4,12.0,0.6,5.2632,True
5-S1_post_warmup__steady_driving_P95,trip_0009,11.4,12.0,0.6,5.2632,True
5-S1_post_warmup__steady_driving_P95,trip_0010,11.4,12.0,0.6,5.2632,True
5-S1_post_warmup__steady_driving_P95,trip_0011,11.4,12.0,0.6,5.2632,True
5-S1_post_warmup__steady_driving_P95,trip_0012,11.4,12.0,0.6,5.2632,True
5-S1_post_warmup__steady_driving_P95,trip_0013,11.4,11.95,0.55,4.8246,True
5-S1_post_warmup__steady_driving_P95,trip_0014,11.4,12.0,0.6,5.2632,True
5-S1_post_warmup__steady_driving_P95,trip_0015,11.4,12.0,0.6,5.2632,True
5-S1_post_warmup__steady_driving_P95,trip_0016,11.4,12.0,0.6,5.2632,True
5-S1_post_warmup__steady_driving_P95,trip_0017,11.4,12.0,0.6,5.2632,True
5-S1_post_warmup__steady_driving_P95,trip_0018,11.4,12.0,0.6,5.2632,True
5-S1_post_warmup__steady_driving_P95,trip_0019,11.4,11.95,0.55,4.8246,True
5-S1_post_warmup__steady_driving_P95,trip_0020,11.4,12.0,0.6,5.2632,True
5-S1_post_warmup__steady_driving_P95,trip_0021,11.4,12.0,0.6,5.2632,True
5-S1_post_warmup__steady_driving_P95,trip_0022,11.4,12.0,0.6,5.2632,True
5-S1_post_warmup__steady_driving_P95,trip_0023,11.4,12.0,0.6,5.2632,True
5-S1_post_warmup__steady_driving_P95,trip_0024,11.4,11.95,0.55,4.8246,True
5-S1_post_warmup__steady_driving_P95,trip_0025,11.4,12.0,0.6,5.2632,True
5-S1_post_warmup__steady_driving_P95,trip_0026,11.4,12.0,0.6,5.2632,True
5-S1_post_warmup__steady_driving_P95,trip_0027,11.4,11.92,0.52,4.5614,True
5-S1_post_warmup__steady_driving_P95,trip_0028,11.4,12.0,0.6,5.2632,True
5-S1_post_warmup__steady_driving_P95,trip_0029,11.4,12.0,0.6,5.2632,True
5-S1_post_warmup__steady_driving_P95,trip_0030,11.4,11.95,0.55,4.8246,True
5-S1_post_warmup__steady_driving_P95,trip_0031,11.4,11.985,0.585,5.1316,True
