sub_check,left_out_trip,frozen_value,recalculated_value,deviation,deviation_pct,passes
5-S3_accel_pedal_mean_std_120s_q50,trip_0001,9.872351211737215,9.549975,-0.322376,-3.2654,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0002,9.872351211737215,9.536996,-0.335355,-3.3969,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0003,9.872351211737215,9.562755,-0.309596,-3.136,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0004,9.872351211737215,9.561905,-0.310446,-3.1446,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0005,9.872351211737215,9.575951,-0.2964,-3.0023,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0006,9.872351211737215,9.55643,-0.315921,-3.2001,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0007,9.872351211737215,9.566561,-0.30579,-3.0974,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0008,9.872351211737215,9.548205,-0.324147,-3.2834,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0009,9.872351211737215,9.519311,-0.35304,-3.576,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0010,9.872351211737215,9.57036,-0.301991,-3.059,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0011,9.872351211737215,9.558829,-0.313523,-3.1758,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0012,9.872351211737215,9.554972,-0.317379,-3.2148,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0013,9.872351211737215,9.55711,-0.315241,-3.1932,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0014,9.872351211737215,9.518155,-0.354196,-3.5878,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0015,9.872351211737215,9.547803,-0.324548,-3.2874,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0016,9.872351211737215,9.551666,-0.320685,-3.2483,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0017,9.872351211737215,9.546252,-0.326099,-3.3032,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0018,9.872351211737215,9.564895,-0.307456,-3.1143,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0019,9.872351211737215,9.518174,-0.354177,-3.5876,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0020,9.872351211737215,9.531321,-0.34103,-3.4544,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0021,9.872351211737215,9.559276,-0.313075,-3.1712,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0022,9.872351211737215,9.548693,-0.323658,-3.2784,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0023,9.872351211737215,9.554161,-0.31819,-3.223,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0024,9.872351211737215,9.533095,-0.339256,-3.4364,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0025,9.872351211737215,9.544598,-0.327753,-3.3199,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0026,9.872351211737215,9.55836,-0.313991,-3.1805,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0027,9.872351211737215,9.546006,-0.326345,-3.3056,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0028,9.872351211737215,9.54716,-0.325191,-3.294,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0029,9.872351211737215,9.590758,-0.281593,-2.8523,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0030,9.872351211737215,9.540092,-0.332259,-3.3655,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0031,9.872351211737215,9.536779,-0.335573,-3.3991,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0032,9.872351211737215,9.541278,-0.331073,-3.3535,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0033,9.872351211737215,9.557044,-0.315307,-3.1938,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0034,9.872351211737215,9.555105,-0.317247,-3.2135,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0035,9.872351211737215,9.585529,-0.286822,-2.9053,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0036,9.872351211737215,9.55347,-0.318882,-3.23,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0037,9.872351211737215,9.573432,-0.298919,-3.0278,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0038,9.872351211737215,9.578624,-0.293727,-2.9753,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0039,9.872351211737215,9.58487,-0.287481,-2.912,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0040,9.872351211737215,9.548359,-0.323993,-3.2818,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0041,9.872351211737215,9.566103,-0.306248,-3.1021,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0042,9.872351211737215,9.528925,-0.343426,-3.4787,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0043,9.872351211737215,9.541384,-0.330967,-3.3525,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0044,9.872351211737215,9.542012,-0.330339,-3.3461,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0045,9.872351211737215,9.556454,-0.315897,-3.1998,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0046,9.872351211737215,9.518174,-0.354177,-3.5876,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0047,9.872351211737215,9.556008,-0.316343,-3.2043,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0048,9.872351211737215,9.536996,-0.335355,-3.3969,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0049,9.872351211737215,9.561161,-0.311191,-3.1521,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0050,9.872351211737215,9.548873,-0.323479,-3.2766,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0051,9.872351211737215,9.517297,-0.355054,-3.5964,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0052,9.872351211737215,9.545401,-0.32695,-3.3118,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0053,9.872351211737215,9.502867,-0.369484,-3.7426,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0054,9.872351211737215,9.514848,-0.357503,-3.6213,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0055,9.872351211737215,9.524623,-0.347729,-3.5222,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0056,9.872351211737215,9.554547,-0.317804,-3.2191,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0057,9.872351211737215,9.513371,-0.358981,-3.6362,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0058,9.872351211737215,9.557203,-0.315149,-3.1922,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0059,9.872351211737215,9.538054,-0.334297,-3.3862,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0060,9.872351211737215,9.545901,-0.326451,-3.3067,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0061,9.872351211737215,9.537247,-0.335105,-3.3944,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0062,9.872351211737215,9.525858,-0.346493,-3.5097,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0063,9.872351211737215,9.567992,-0.304359,-3.0829,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0064,9.872351211737215,9.536996,-0.335355,-3.3969,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0065,9.872351211737215,9.550536,-0.321815,-3.2598,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0066,9.872351211737215,9.555503,-0.316848,-3.2094,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0067,9.872351211737215,9.546449,-0.325902,-3.3012,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0068,9.872351211737215,9.556547,-0.315804,-3.1989,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0069,9.872351211737215,9.552739,-0.319612,-3.2374,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0070,9.872351211737215,9.561714,-0.310638,-3.1465,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0071,9.872351211737215,9.565281,-0.307071,-3.1104,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0072,9.872351211737215,9.550647,-0.321705,-3.2586,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0073,9.872351211737215,9.553313,-0.319038,-3.2316,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0074,9.872351211737215,9.535406,-0.336945,-3.413,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0075,9.872351211737215,9.535654,-0.336697,-3.4105,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0076,9.872351211737215,9.555076,-0.317275,-3.2138,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0077,9.872351211737215,9.555443,-0.316908,-3.2101,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0078,9.872351211737215,9.570611,-0.30174,-3.0564,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0079,9.872351211737215,9.557355,-0.314996,-3.1907,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0080,9.872351211737215,9.572636,-0.299716,-3.0359,True
5-S3_accel_pedal_mean_std_120s_q50,trip_0081,9.872351211737215,9.517601,-0.35475,-3.5934,True
