sub_check,left_out_trip,frozen_value,recalculated_value,deviation,deviation_pct,passes
5-S3_rpm_std_120s_q50,trip_0001,240.9756341791328,261.129439,20.153805,8.3634,True
5-S3_rpm_std_120s_q50,trip_0002,240.9756341791328,261.078805,20.10317,8.3424,True
5-S3_rpm_std_120s_q50,trip_0003,240.9756341791328,259.550155,18.574521,7.708,True
5-S3_rpm_std_120s_q50,trip_0004,240.9756341791328,261.706329,20.730694,8.6028,True
5-S3_rpm_std_120s_q50,trip_0005,240.9756341791328,261.682147,20.706513,8.5928,True
5-S3_rpm_std_120s_q50,trip_0006,240.9756341791328,262.692118,21.716484,9.0119,True
5-S3_rpm_std_120s_q50,trip_0007,240.9756341791328,259.469883,18.494249,7.6747,True
5-S3_rpm_std_120s_q50,trip_0008,240.9756341791328,259.320019,18.344385,7.6125,True
5-S3_rpm_std_120s_q50,trip_0009,240.9756341791328,260.780794,19.80516,8.2187,True
5-S3_rpm_std_120s_q50,trip_0010,240.9756341791328,261.772197,20.796563,8.6302,True
5-S3_rpm_std_120s_q50,trip_0011,240.9756341791328,260.98572,20.010086,8.3038,True
5-S3_rpm_std_120s_q50,trip_0012,240.9756341791328,261.934533,20.958899,8.6975,True
5-S3_rpm_std_120s_q50,trip_0013,240.9756341791328,260.785696,19.810062,8.2208,True
5-S3_rpm_std_120s_q50,trip_0014,240.9756341791328,259.486708,18.511074,7.6817,True
5-S3_rpm_std_120s_q50,trip_0015,240.9756341791328,259.691649,18.716015,7.7668,True
5-S3_rpm_std_120s_q50,trip_0016,240.9756341791328,260.995049,20.019414,8.3077,True
5-S3_rpm_std_120s_q50,trip_0017,240.9756341791328,261.573872,20.598238,8.5479,True
5-S3_rpm_std_120s_q50,trip_0018,240.9756341791328,261.125906,20.150272,8.362,True
5-S3_rpm_std_120s_q50,trip_0019,240.9756341791328,261.231305,20.255671,8.4057,True
5-S3_rpm_std_120s_q50,trip_0020,240.9756341791328,259.780749,18.805115,7.8037,True
5-S3_rpm_std_120s_q50,trip_0021,240.9756341791328,259.712747,18.737112,7.7755,True
5-S3_rpm_std_120s_q50,trip_0022,240.9756341791328,259.659207,18.683573,7.7533,True
5-S3_rpm_std_120s_q50,trip_0023,240.9756341791328,260.905853,19.930219,8.2706,True
5-S3_rpm_std_120s_q50,trip_0024,240.9756341791328,261.097411,20.121777,8.3501,True
5-S3_rpm_std_120s_q50,trip_0025,240.9756341791328,260.556072,19.580438,8.1255,True
5-S3_rpm_std_120s_q50,trip_0026,240.9756341791328,259.879911,18.904277,7.8449,True
5-S3_rpm_std_120s_q50,trip_0027,240.9756341791328,261.326314,20.35068,8.4451,True
5-S3_rpm_std_120s_q50,trip_0028,240.9756341791328,261.134112,20.158478,8.3654,True
5-S3_rpm_std_120s_q50,trip_0029,240.9756341791328,262.172158,21.196524,8.7961,True
5-S3_rpm_std_120s_q50,trip_0030,240.9756341791328,261.50177,20.526135,8.5179,True
5-S3_rpm_std_120s_q50,trip_0031,240.9756341791328,261.382642,20.407008,8.4685,True
5-S3_rpm_std_120s_q50,trip_0032,240.9756341791328,261.294513,20.318878,8.4319,True
5-S3_rpm_std_120s_q50,trip_0033,240.9756341791328,261.490129,20.514495,8.5131,True
5-S3_rpm_std_120s_q50,trip_0034,240.9756341791328,261.68587,20.710236,8.5943,True
5-S3_rpm_std_120s_q50,trip_0035,240.9756341791328,262.621534,21.6459,8.9826,True
5-S3_rpm_std_120s_q50,trip_0036,240.9756341791328,261.18907,20.213436,8.3882,True
5-S3_rpm_std_120s_q50,trip_0037,240.9756341791328,262.146271,21.170636,8.7854,True
5-S3_rpm_std_120s_q50,trip_0038,240.9756341791328,261.138818,20.163183,8.3673,True
5-S3_rpm_std_120s_q50,trip_0039,240.9756341791328,262.065181,21.089547,8.7517,True
5-S3_rpm_std_120s_q50,trip_0040,240.9756341791328,262.102319,21.126685,8.7671,True
5-S3_rpm_std_120s_q50,trip_0041,240.9756341791328,261.217235,20.241601,8.3999,True
5-S3_rpm_std_120s_q50,trip_0042,240.9756341791328,262.314439,21.338804,8.8552,True
5-S3_rpm_std_120s_q50,trip_0043,240.9756341791328,261.908356,20.932722,8.6867,True
5-S3_rpm_std_120s_q50,trip_0044,240.9756341791328,261.138818,20.163183,8.3673,True
5-S3_rpm_std_120s_q50,trip_0045,240.9756341791328,261.151256,20.175622,8.3725,True
5-S3_rpm_std_120s_q50,trip_0046,240.9756341791328,259.913772,18.938138,7.8589,True
5-S3_rpm_std_120s_q50,trip_0047,240.9756341791328,261.250819,20.275185,8.4138,True
5-S3_rpm_std_120s_q50,trip_0048,240.9756341791328,261.196825,20.22119,8.3914,True
