trip_id,segment_id,window_id,timestamp,risk_score,risk_level,component,prediction_confidence
trip_0001,trip_0001_seg_001,trip_0001_seg_001__w000,2017-07-24T05:32:31Z,0.2859,Low,cooling_degradation,0.9492
trip_0001,trip_0001_seg_001,trip_0001_seg_001__w001,2017-07-24T05:42:39Z,0.0775,Low,air_intake_maf_anomaly,0.95
trip_0001,trip_0001_seg_001,trip_0001_seg_001__w002,2017-07-24T05:52:47Z,0.1365,Low,cooling_degradation,0.95
trip_0001,trip_0001_seg_001,trip_0001_seg_001__w003,2017-07-24T06:02:55Z,0.1491,Low,cooling_degradation,0.95
trip_0001,trip_0001_seg_001,trip_0001_seg_001__w004,2017-07-24T06:13:03Z,0.1697,Low,air_intake_maf_anomaly,0.9442
trip_0001,trip_0001_seg_001,trip_0001_seg_001__w005,2017-07-24T06:23:11Z,0.1885,Low,air_intake_maf_anomaly,0.9383
trip_0001,trip_0001_seg_001,trip_0001_seg_001__w006,2017-07-24T06:33:19Z,0.1441,Low,air_intake_maf_anomaly,0.95
trip_0002,trip_0002_seg_001,trip_0002_seg_001__w000,2017-07-26T05:50:00Z,0.5753,Medium,cooling_degradation,0.8002
trip_0002,trip_0002_seg_001,trip_0002_seg_001__w001,2017-07-26T06:00:08Z,0.088,Low,cooling_degradation,0.95
trip_0002,trip_0002_seg_001,trip_0002_seg_001__w002,2017-07-26T06:10:16Z,0.0432,Low,cooling_degradation,0.95
trip_0002,trip_0002_seg_001,trip_0002_seg_001__w003,2017-07-26T06:20:24Z,0.1048,Low,air_intake_maf_anomaly,0.95
trip_0002,trip_0002_seg_001,trip_0002_seg_001__w004,2017-07-26T06:30:32Z,0.1538,Low,cooling_degradation,0.95
trip_0002,trip_0002_seg_001,trip_0002_seg_001__w005,2017-07-26T06:40:40Z,0.1326,Low,air_intake_maf_anomaly,0.95
trip_0003,trip_0003_seg_001,trip_0003_seg_001__w000,2017-07-26T17:00:00Z,0.3715,Low,cooling_degradation,0.8896
trip_0003,trip_0003_seg_001,trip_0003_seg_001__w001,2017-07-26T17:10:08Z,0.1596,Low,air_intake_maf_anomaly,0.95
trip_0003,trip_0003_seg_001,trip_0003_seg_001__w002,2017-07-26T17:20:16Z,0.2452,Low,air_intake_maf_anomaly,0.9284
trip_0003,trip_0003_seg_001,trip_0003_seg_001__w003,2017-07-26T17:30:24Z,0.1531,Low,air_intake_maf_anomaly,0.9475
trip_0003,trip_0003_seg_001,trip_0003_seg_001__w004,2017-07-26T17:40:32Z,0.118,Low,air_intake_maf_anomaly,0.95
trip_0004,trip_0004_seg_001,trip_0004_seg_001__w000,2017-07-27T06:53:33Z,0.823,Medium,cooling_degradation,0.7181
trip_0005,trip_0005_seg_001,trip_0005_seg_001__w000,2017-07-27T19:21:25Z,0.4843,Medium,cooling_degradation,0.8432
trip_0005,trip_0005_seg_001,trip_0005_seg_001__w001,2017-07-27T19:31:33Z,0.245,Low,cooling_degradation,0.9255
trip_0006,trip_0006_seg_001,trip_0006_seg_001__w000,2017-07-28T06:46:23Z,0.5021,Medium,cooling_degradation,0.842
